P37_8,P56,P56_1,P58,P62,P63,P64,F8,F3,F4,F5,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P60,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,FACTOR_REGION,FACTOR_TOTAL
0,1,5,0,1,33,6,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,212.48695652173913,209.6189111747851
0,3,5,0,1,51,5,2,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,212.48695652173913,209.6189111747851
0,2,3,1,1,40,5,1,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,212.48695652173913,209.6189111747851
0,2,2,1,1,41,6,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,101.24361493123772,103.51764705882353
0,2,1,1,1,31,5,2,1,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,281.8158236057069,272.0928725701944
0,2,3,1,2,33,5,2,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,281.8158236057069,272.0928725701944
0,2,3,0,2,32,6,2,1,3,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,281.8158236057069,272.0928725701944
1,2,4,0,2,50,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,212.48695652173913,209.6189111747851
1,2,1,0,2,48,6,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,281.8158236057069,272.0928725701944
0,2,2,0,2,44,6,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,212.48695652173913,209.6189111747851
1,1,1,0,1,55,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,101.24361493123772,103.51764705882353
1,3,4,0,2,30,5,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,281.8158236057069,272.0928725701944
0,1,5,0,2,29,5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,281.8158236057069,272.0928725701944
0,1,5,0,1,60,5,2,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,281.8158236057069,272.0928725701944
0,2,2,0,1,45,5,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,281.8158236057069,272.0928725701944
0,3,4,0,1,40,6,2,1,2,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,61.04761904761905,63.583333333333336
0,1,2,1,2,50,3,2,1,2,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,212.48695652173913,209.6189111747851
0,2,1,0,2,52,3,3,1,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,81.11764705882354,77.29824561403508
0,2,5,0,1,30,3,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,281.8158236057069,272.0928725701944
0,2,3,0,1,40,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101.24361493123772,103.51764705882353
1,2,2,1,2,55,4,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,281.8158236057069,272.0928725701944
0,3,3,0,1,47,6,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,281.8158236057069,272.0928725701944
0,3,4,0,1,30,1,2,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,281.8158236057069,272.0928725701944
1,2,3,1,1,62,2,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,281.8158236057069,272.0928725701944
1,2,1,1,2,41,6,3,1,3,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,81.11764705882354,77.29824561403508
1,3,4,0,1,53,6,2,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,88.25,80.52941176470588
1,2,4,0,1,54,5,1,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,81.11764705882354,77.29824561403508
1,2,1,1,2,28,6,1,1,3,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,81.11764705882354,77.29824561403508
0,1,5,0,1,40,6,4,1,3,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,81.11764705882354,77.29824561403508
0,3,3,0,2,56,5,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,281.8158236057069,272.0928725701944
0,3,3,0,2,37,5,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,281.8158236057069,272.0928725701944
0,1,3,0,1,34,5,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,212.48695652173913,209.6189111747851
1,1,4,1,1,44,5,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.48695652173913,209.6189111747851
1,1,4,0,1,45,3,3,1,2,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,93.91666666666667,90.64285714285714
1,1,3,0,2,52,5,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,281.8158236057069,272.0928725701944
1,1,5,0,2,39,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,212.48695652173913,209.6189111747851
