P37_8,P56_1,P58,P62,P63,FACTOR_REGION,FACTOR_TOTAL,P60,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
0,2,1,2,36,281.8158236057069,272.0928725701944,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,3,0,2,50,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
1,4,0,2,33,281.8158236057069,272.0928725701944,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1,4,1,2,31,281.8158236057069,272.0928725701944,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
1,5,0,1,66,281.8158236057069,272.0928725701944,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,4,0,2,37,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,4,0,2,35,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,5,0,2,42,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,2,66,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,3,0,2,29,281.8158236057069,272.0928725701944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,5,0,1,35,281.8158236057069,272.0928725701944,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
1,4,0,2,56,281.8158236057069,272.0928725701944,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,4,0,1,30,101.24361493123772,103.51764705882353,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,0,1,36,212.48695652173913,209.6189111747851,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,3,0,1,35,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,3,0,2,54,212.48695652173913,209.6189111747851,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,3,1,2,37,281.8158236057069,272.0928725701944,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,5,0,2,32,281.8158236057069,272.0928725701944,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,1,1,58,281.8158236057069,272.0928725701944,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5,0,2,38,101.24361493123772,103.51764705882353,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4,0,2,25,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1,0,1,28,212.48695652173913,209.6189111747851,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4,0,1,51,101.24361493123772,103.51764705882353,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
0,3,0,1,39,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,0,1,40,281.8158236057069,272.0928725701944,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
0,4,0,1,56,194.4655172413793,170.04225352112675,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,1,57,101.24361493123772,103.51764705882353,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,2,0,1,30,212.48695652173913,209.6189111747851,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
0,4,0,1,29,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,2,0,2,27,212.48695652173913,209.6189111747851,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,59,101.24361493123772,103.51764705882353,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,5,0,1,29,281.8158236057069,272.0928725701944,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
